deploy_20210621,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210623,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210626,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210627,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210628,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210629,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210630,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210701_A,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210701_B,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210701_C,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210701_D,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210701_E,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,
,06/21/2021 14:00:00,06/21/2021 14:04:40,0,207039,0,solo,,,,,06/23/2021 03:00:00,06/24/2021 17:11:40,0,207039,0,solo,,,,,06/26/2021 03:21:00,06/26/2021 3:22:00,0,207039,0,solo,,,,,06/27/2021 03:30:00,06/27/2021 18:24:40,0,207039,0,solo,,,,,06/29/2021 00:00:00,06/29/2021 0:00:49,0,207039,0,solo,,slipped 30cm,,,06/29/2021 18:10:00,06/29/2021 18:12:00,0,207039,0,solo,,slipped 30cm,,,07/01/2021 00:20:00,07/01/2021 1:00:49,0,207039,0,solo,,,,,07/01/2021 22:04:00,07/02/2021 0:00:00,0,207039,0,solo,,,,,07/02/2021 03:26:00,07/02/2021 3:26:39,0,207039,0,solo,,,,,07/02/2021 09:42:00,07/02/2021 9:42:24,0,207039,0,solo,,,,,07/02/2021 22:48:00,07/03/2021 0:51:00,0,207039,0,solo,,,,,07/03/2021 00:51:00,07/03/2021 0:51:00,0,207039,0,solo,,,
,06/22/2021 22:30:00,06/21/2021 14:15:00,0.508,207035,0,solo,,,,,06/26/2021 02:30:00,06/24/2021 17:53:00,0.508,207035,0,solo,,,,,06/26/2021 14:55:00,06/26/2021 3:57:00,0.508,207035,0,solo,,,,,06/28/2021 03:20:00,06/27/2021 19:23:00,0.508,207035,0,solo,,,,,06/29/2021 17:43:00,06/29/2021 0:38:00,0.508,207035,0,solo,,,,,06/30/2021 15:30:00,06/29/2021 18:19:30,0.508,207035,0,solo,,,,,07/01/2021 22:00:00,07/01/2021 1:04:00,0.508,207035,0,solo,,,,,07/02/2021 03:21:00,07/02/2021 1:04:00,0.508,207035,0,solo,,slipped 26cm,,,07/02/2021 09:43:00,07/02/2021 3:30:00,0.508,207035,0,solo,,slipped 26cm,,,07/02/2021 22:48:00,07/02/2021 9:46:48,0.508,207035,0,solo,,slipped 26cm,,,07/03/2021 00:51:00,07/03/2021 0:54:59,0.508,207035,0,solo,,slipped 26cm,,,07/03/2021 19:39:00,07/03/2021 0:54:59,0.508,207035,0,solo,,slipped 26cm,
,,,1.016,60281,0,concerto,,,,,,,1.016,60281,0,concerto,1,,,,,,1.016,60281,0,concerto,1,,,,,,1.524,207064,0,solo,,slid 9 cm,,,,,1.016,60281,0,concerto,1,,,,,,1.016,60281,0,concerto,1,,,,,,1.016,60281,0,concerto,,,,,,,1.016,60281,0,concerto,,,,,,,1.016,60281,0,concerto,,,,,,,1.016,60281,0,concerto,,,,,,,1.016,60281,0,concerto,,,,,,,1.016,60281,0,concerto,,,
,,,1.524,207064,0,solo,,,,,,,1.524,207064,0,solo,,slid down 20 cm,,,,,1.524,207064,0,solo,,,,,,,2.032,207065,0,solo,,,,,,,1.524,207064,0,solo,,,,,,,1.524,207064,0,solo,,,,,,,1.524,207064,0,solo,,,,,,,1.524,207064,0,solo,,,,,,,1.524,207064,0,solo,,,,,,,1.524,207064,0,solo,,,,,,,1.524,207064,0,solo,,,,,,,1.524,207064,0,solo,,,
,,,2.032,207065,0,solo,,is in a housing label 207036,,,,,2.032,207065,0,solo,,is in the housing 207036,,,,,2.032,207065,0,solo,,,,,,,2.54,207016,0,solo,,,,,,,2.032,207065,0,solo,,"serial number of casing 207036, slipped 7cm",,,,,2.032,207065,0,solo,,"serial number of casing 207036, slipped 7cm",,,,,2.032,207065,0,solo,,"serial number of casing 207036, slipped 7cm",,,,,2.032,207065,0,solo,,serial number of casing 207036,,,,,2.032,207065,0,solo,,serial number of casing 207036,,,,,2.032,207065,0,solo,,serial number of casing 207036,,,,,2.032,207065,0,solo,,serial number of casing 207036,,,,,2.032,207065,0,solo,,serial number of casing 207036,
,,,2.54,207016,0,solo,,,,,,,2.54,207016,0,solo,,,,,,,2.54,207016,0,solo,,,,,,,3.048,60523,0,concerto,,,,,,,2.54,207016,0,solo,,slipped 20cm,,,,,2.54,207016,0,solo,,slipped 20cm,,,,,2.54,207016,0,solo,,,,,,,2.54,207016,0,solo,,,,,,,2.54,207016,0,solo,,,,,,,2.54,207016,0,solo,,,,,,,2.54,207016,0,solo,,,,,,,2.54,207016,0,solo,,,
,,,3.048,60523,0,concerto,,,,,,,3.048,60523,0,concerto,,,,,,,3.048,60523,0,concerto,,,,,,,3.556,207017,0,solo,,,,,,,3.048,60523,0,concerto,,,,,,,3.048,60523,0,concerto,,,,,,,3.048,60523,0,concerto,,,,,,,3.048,60523,0,concerto,1,,,,,,3.048,60523,0,concerto,1,,,,,,3.048,60523,0,concerto,1,,,,,,3.048,60523,0,concerto,1,,,,,,3.048,60523,0,concerto,1,,
,,,3.556,207017,0,solo,,,,,,,3.556,207017,0,solo,,,,,,,3.556,207017,0,solo,,,,,,,4.064,207025,0,solo,,,,,,,3.556,207017,0,solo,,slipped 14cm,,,,,3.556,207017,0,solo,,slipped 14cm,,,,,3.556,207017,0,solo,,,,,,,3.556,207017,0,solo,,,,,,,3.556,207017,0,solo,,,,,,,3.556,207017,0,solo,,,,,,,3.556,207017,0,solo,,,,,,,3.556,207017,0,solo,,,
,,,4.064,207025,0,solo,,,,,,,4.064,207025,0,solo,,,,,,,4.064,207025,0,solo,,,,,,,4.572,207026,0,solo,,,,,,,4.064,207025,0,solo,,slipped 3cm,,,,,4.064,207025,0,solo,,slipped 3cm,,,,,4.064,207025,0,solo,,,,,,,4.064,207025,0,solo,,,,,,,4.064,207025,0,solo,,,,,,,4.064,207025,0,solo,,,,,,,4.064,207025,0,solo,,,,,,,4.064,207025,0,solo,,,
,,,4.572,207026,0,solo,,,,,,,4.572,207026,0,solo,,,,,,,4.572,207026,0,solo,,,,,,,5.08,207037,0,solo,,slid 16 cm,,,,,4.572,207026,0,solo,,slipped 1cm,,,,,4.572,207026,0,solo,,slipped 1cm,,,,,4.572,207026,0,solo,,,,,,,4.572,207026,0,solo,,,,,,,4.572,207026,0,solo,,,,,,,4.572,207026,0,solo,,,,,,,4.572,207026,0,solo,,,,,,,4.572,207026,0,solo,,,
