Time_GMT	FluxDuration_sec	DMS_pptv_air	DMS_uM_m3_air	DMS_uM_m3_sw	DMSflux_uM_m2_d	DMSflux_error	kDMS_cm_hr	kDMS_error	U10N_m_s	Ustar_COARE_m_s	RWspd_m_s	Sc_DMS	RWdir_deg	Tair_C	SST_C	Sal_ppth	Lat	Lon	SOG_kts	Gyro_deg	Longwave_W_m2	Shortwave_W_m2	z_L
3/2/08 00:00:00	3448	86	0.00378	NaN	NaN	NaN	NaN	NaN	NaN	0.166	6.74	1460	-54.2	11.66	10.96	33.50	-51.346	-63.382	12.0	64.5	284.5	2.8	0.20
3/2/08 01:00:00	3448	112	0.00493	NaN	NaN	NaN	NaN	NaN	NaN	0.199	6.82	1467	-63.0	11.68	10.87	33.53	-51.252	-63.102	12.0	64.7	281.6	2.9	0.15
3/2/08 02:00:00	3445	118	0.00519	NaN	NaN	NaN	NaN	NaN	NaN	0.191	7.53	1476	-56.7	11.61	10.74	33.55	-51.156	-62.825	11.9	60.1	282.5	2.8	0.18
3/2/08 03:00:00	3448	117	0.00515	NaN	NaN	NaN	NaN	NaN	NaN	0.209	8.27	1461	-65.2	11.79	10.94	33.56	-51.034	-62.584	12.0	56.5	286.6	2.9	0.15
3/2/08 04:00:00	NaN	105	0.00462	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1463	-63.4	11.78	NaN	33.57	-50.938	-62.306	12.1	NaN	NaN	NaN	0.22
3/2/08 05:00:00	NaN	70	0.00308	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1468	-62.3	11.63	NaN	33.58	-50.847	-62.019	12.2	NaN	NaN	NaN	0.26
3/2/08 06:00:00	3448	51	0.00224	NaN	NaN	NaN	NaN	NaN	NaN	0.127	5.01	1447	-52.8	11.53	11.13	33.62	-50.757	-61.733	12.0	64.3	300.0	2.7	0.24
3/2/08 07:00:00	3448	72	0.00317	NaN	NaN	NaN	NaN	NaN	NaN	0.120	4.92	1483	-52.4	11.59	10.62	33.63	-50.676	-61.451	11.9	78.8	311.7	2.5	0.54
3/2/08 08:00:00	3448	88	0.00387	NaN	NaN	NaN	NaN	NaN	NaN	0.128	4.87	1496	-52.6	11.09	10.49	33.67	-50.676	-61.140	12.2	95.7	322.7	2.5	0.31
3/2/08 09:00:00	3146	110	0.00484	NaN	1.660	0.485	NaN	NaN	NaN	0.144	4.93	1435	-49.9	11.25	11.29	33.67	-50.692	-60.820	12.2	95.6	332.9	9.6	-0.03
3/2/08 10:00:00	3448	76	0.00334	NaN	NaN	NaN	NaN	NaN	NaN	0.113	4.27	1419	-18.5	11.57	11.47	33.67	-50.702	-60.496	12.5	94.5	327.0	100.5	0.06
3/2/08 11:00:00	3448	79	0.00348	NaN	NaN	NaN	NaN	NaN	NaN	0.093	3.67	1414	-16.1	11.60	11.47	33.69	-50.721	-60.169	12.5	98.6	288.9	303.5	0.11
3/2/08 12:00:00	3448	96	0.00422	NaN	0.829	0.223	NaN	NaN	NaN	0.112	4.29	1411	-33.0	11.57	11.44	33.70	-50.741	-59.839	12.7	96.2	278.4	462.7	0.01
3/2/08 13:00:00	3448	88	0.00387	NaN	0.673	0.172	NaN	NaN	NaN	0.127	4.74	1401	-41.7	11.65	11.49	33.72	-50.758	-59.504	12.8	95.8	279.2	588.0	-0.03
3/2/08 14:00:00	3448	72	0.00317	NaN	0.330	0.089	NaN	NaN	NaN	0.124	4.52	1399	-40.7	11.74	11.34	33.69	-50.774	-59.170	12.7	96.9	279.7	699.1	-0.01
3/2/08 15:00:00	3448	64	0.00282	NaN	NaN	NaN	NaN	NaN	NaN	0.147	NaN	1399	-2.7	11.78	11.29	33.72	-50.791	-58.836	12.7	96.0	278.9	733.1	0.00
3/2/08 16:00:00	3448	48	0.00211	NaN	NaN	NaN	NaN	NaN	NaN	0.156	NaN	1392	-1.8	11.87	11.47	33.74	-50.802	-58.502	12.7	94.3	275.7	721.5	-0.00
3/2/08 17:00:00	3448	54	0.00238	NaN	NaN	NaN	NaN	NaN	NaN	0.161	NaN	1385	-47.9	11.95	11.64	33.75	-50.811	-58.166	12.8	95.0	276.1	688.0	-0.01
3/2/08 18:00:00	NaN	50	0.00220	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1417	-4.5	11.92	NaN	33.70	-50.820	-57.830	12.8	NaN	NaN	NaN	0.10
3/2/08 19:00:00	NaN	50	0.00220	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1432	-66.4	11.74	NaN	33.69	-50.829	-57.492	12.9	NaN	NaN	NaN	0.10
3/2/08 20:00:00	NaN	46	0.00202	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1461	-85.8	11.62	NaN	33.68	-50.838	-57.154	12.8	NaN	NaN	NaN	0.14
3/2/08 21:00:00	1374	76	0.00334	NaN	NaN	NaN	NaN	NaN	NaN	0.146	NaN	1503	-30.8	11.28	10.43	33.69	-50.847	-56.827	12.1	98.3	278.4	30.1	0.33
3/2/08 22:00:00	3448	100	0.00440	NaN	NaN	NaN	NaN	NaN	NaN	0.142	NaN	1518	18.8	11.02	10.20	33.79	-50.855	-56.507	12.3	97.7	287.5	14.5	0.31
